Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
1,10,,unset,FLAN,=10-ABC-0001_1,1,1,254mm,273.1,0.000,0,0.000,0,0.000,,START,2000.000mm,2000.000mm,0.000mm,,,,,,
2,,,unset,FLAN,=10-ABC-0001_1,2,2,254mm,273.1,0.000,0,0.000,0,0.000,,,2000.000mm,2000.000mm,100.000mm,,,,,,
3,,,unset,BRAN,=10-ABC-0001_2,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,2000.000mm,2000.000mm,100.000mm,,0,,,,
4,20,UCI:SP-01,UCI:SP-01,ANCI,=10-ABC-0001_SP1,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,2000.000mm,2000.000mm,1000.000mm,,,,,,
5,,,unset,BRAN,=10-ABC-0001_2,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,2000.000mm,2000.000mm,2000.000mm,,0,,,,
6,,,unset,ELBO,=10-ABC-0001_3,1,1,254mm,273.1,0.000,0,381.000,0,0.000,,,2000.000mm,2000.000mm,2000.000mm,,,,,,
7,30,,unset,ELBO,=10-ABC-0001_3,0,0,254mm,273.1,0.000,0,381.000,0,0.000,,,2000.000mm,2000.000mm,2381.000mm,,,,,,
8,,,unset,ELBO,=10-ABC-0001_3,2,2,254mm,273.1,0.000,0,381.000,0,0.000,,,2381.000mm,2000.000mm,2381.000mm,,,,,,
9,,,unset,BRAN,=10-ABC-0001_4,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,2381.000mm,2000.000mm,2381.000mm,,0,,,,
10,40,UCI:SP-02,UCI:SP-02,ANCI,=10-ABC-0001_SP2,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,3200.000mm,2000.000mm,2381.000mm,,,,,,
11,,,unset,BRAN,=10-ABC-0001_4,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,4000.000mm,2000.000mm,2381.000mm,,0,,,,
12,,,unset,ELBO,=10-ABC-0001_5,1,1,254mm,273.1,0.000,0,381.000,0,0.000,,,4000.000mm,2000.000mm,2381.000mm,,,,,,
13,50,,unset,ELBO,=10-ABC-0001_5,0,0,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,2000.000mm,2381.000mm,,,,,,
14,,,unset,ELBO,=10-ABC-0001_5,2,2,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,2000.000mm,2762.000mm,,,,,,
15,,,unset,BRAN,=10-ABC-0001_6,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,2000.000mm,2762.000mm,,0,,,,
16,,,unset,BRAN,=10-ABC-0001_6,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,2000.000mm,3500.000mm,,0,,,,
17,,,unset,ELBO,=10-ABC-0001_7,1,1,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,2000.000mm,3500.000mm,,,,,,
18,60,,unset,ELBO,=10-ABC-0001_7,0,0,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,2000.000mm,3881.000mm,,,,,,
19,,,unset,ELBO,=10-ABC-0001_7,2,2,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,2381.000mm,3881.000mm,,,,,,
20,,,unset,BRAN,=10-ABC-0001_8,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,2381.000mm,3881.000mm,,0,,,,
21,70,UCI:SP-03,UCI:SP-03,ANCI,=10-ABC-0001_SP3,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,3200.000mm,3881.000mm,,,,,,
22,,,unset,BRAN,=10-ABC-0001_8,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,4000.000mm,3881.000mm,,0,,,,
23,,,unset,TEE,=10-ABC-0001_9,1,1,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,4000.000mm,3881.000mm,,,,,,
