Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
17,60,,unset,BRAN,40342.83774,2,2,400mm,406.4,0,0,0,0,0,0,END,96400.000mm,15486.400mm,101968.000mm,,0,,,,
18,40,,unset,BRAN,58323.61599,1,1,350mm,355.6,0,0,0,0,0,0,,96400.000mm,16586.400mm,101968.000mm,,0,,,,
19,70,05-VBL-21475,unset,FLAN,58171.9948,1,2,350mm,355.6,0,0,0,0,0,,START,96400.000mm,16586.400mm,102473.000mm,,,,,,
20,,,unset,FLAN,58171.9948,2,1,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,102616.000mm,,,,,,
21,,,unset,GASK,58222.44753,1,1,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,102616.000mm,,,,,,
22,,,unset,GASK,58222.44753,2,2,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,102619.000mm,,,,,,
23,,,05-VBL-21475,VALV,58272.98785,1,2,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,102619.000mm,,,,,,
24,,,05-VBL-21475,VALV,58272.98785,2,1,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,103381.000mm,,,,,,
25,,,unset,GASK,58121.62944,1,1,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,103381.000mm,,,,,,
26,,,unset,GASK,58121.62944,2,2,350mm,355.6,0,0,0,0,0,,,96400.000mm,16586.400mm,103384.000mm,,,,,,
27,,,unset,FLAN,57821.25926,1,1,350mm,355.6,0,0,0,0,0,,,96400.000mm,16586.400mm,103384.000mm,,,,,,
28,80,05-VBL-21475,unset,FLAN,57821.25926,2,2,350mm,355.6,0,0,0,0,0,,END,96400.000mm,16586.400mm,103527.000mm,,,,,,
29,,,unset,OLET,43087.60077,1,1,350mm,355.6,0,0,0,0,0,,,96400.000mm,16586.400mm,103677.000mm,,,,,,
30,,,unset,OLET,43087.60077,3,3,50mm,355.6,0,0,0,0,0,,,96400.000mm,16370.500mm,103677.000mm,,,,,,
31,90,,unset,OLET,43087.60077,0,0,350mm,355.6,0,0,0,0,0,,,96400.000mm,16586.400mm,103677.000mm,,,,,,
32,,,unset,OLET,43087.60077,2,2,350mm,355.6,0,0,0,0,0,,,96400.000mm,16586.400mm,103677.000mm,,,,,,
33,,,unset,ELBO,57672.2354,1,1,350mm,355.6,0,0,533,0,0,,,96400.000mm,16586.400mm,103827.000mm,,,,,,
34,100,,unset,ELBO,57672.2354,0,0,350mm,355.6,0,0,533,0,0,,,96400.000mm,16586.400mm,104360.000mm,,,,,,
35,,,unset,ELBO,57672.2354,2,2,350mm,355.6,0,0,533,0,0,,,95867.000mm,16586.400mm,104360.000mm,,,,,,
36,110,,unset,FLAN,43591.22208,1,2,350mm,355.6,0,0,0,0,0,,START,95867.000mm,16586.400mm,104360.000mm,,,,,,
37,,,unset,FLAN,43591.22208,2,1,350mm,355.6,0,0,0,0,0,,,95724.000mm,16586.400mm,104360.000mm,,,,,,
38,,,unset,GASK,43619.54646,1,1,350mm,355.6,0,0,0,0,0,,,95724.000mm,16586.400mm,104360.000mm,,,,,,
39,,,unset,GASK,43619.54646,2,2,350mm,355.6,0,0,0,0,0,,,95721.000mm,16586.400mm,104360.000mm,,,,,,
40,,,unset,PCOM,43647.90767,1,1,350mm,355.6,0,0,0,0,0,,,95721.000mm,16586.400mm,104360.000mm,,,,,,
41,,,unset,PCOM,43647.90767,2,2,350mm,355.6,0,0,0,0,0,,,95686.000mm,16586.400mm,104360.000mm,,,,,,
42,,,unset,GASK,43562.93446,1,1,350mm,355.6,0,0,0,0,0,,,95686.000mm,16586.400mm,104360.000mm,,,,,,
43,,,unset,GASK,43562.93446,2,2,350mm,355.6,0,0,0,0,0,,,95683.000mm,16586.400mm,104360.000mm,,,,,,
44,120,,unset,BRAN,58323.61599,2,2,350mm,355.6,0,0,0,0,0,0,END,95683.000mm,16586.400mm,104360.000mm,,0,,,,
45,120,,unset,BRAN,40391.38508,1,1,350mm,355.6,0,0,0,0,0,0,END,95683.000mm,16586.400mm,104360.000mm,,0,,,,
46,,,unset,FLAN,40125.81112,1,1,350mm,355.6,0,0,0,0,0,,,95683.000mm,16586.400mm,104360.000mm,,,,,,
47,130,,unset,FLAN,40125.81112,2,2,350mm,355.6,0,0,0,0,0,,,95540.000mm,16586.400mm,104360.000mm,,,,,,
