Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
1,10,"ZGPS-1A1AA-30""-B7410250-11440M6-01/B2","ZGPS-1A1AA-30""-B7410250-11440M6-01/B2",BRAN,=67133182/6325,1,1,750mm,762,0.000,0,0.000,0,0.000,0,,1150221.552mm,1033399.294mm,103894.134mm,,0,,,,
2,20,,unset,FBLI,=67133182/6326,1,2,750mm,762,0.000,0,0.000,0,0.000,,START,1150221.527mm,1033259.363mm,103918.882mm,,,,,,
3,,,unset,FBLI,=67133182/6326,2,1,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1033334.462mm,103918.807mm,,,,,,
4,,,unset,GASK,=67133182/6327,1,2,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1033334.462mm,103918.807mm,,,,,,
5,30,,unset,GASK,=67133182/6327,2,1,750mm,762,0.000,0,0.000,0,0.000,,END,1150221.527mm,1033337.462mm,103918.804mm,,,,,,
6,,,unset,FLAN,=67133182/6328,1,1,750mm,762,0.000,0,0.000,0,0.000,,START,1150221.527mm,1033337.462mm,103918.804mm,,,,,,
7,40,,unset,FLAN,=67133182/6328,2,2,750mm,762,0.000,0,0.000,0,0.000,,END,1150221.527mm,1033474.462mm,103918.667mm,,,,,,
8,,,unset,TEE,=67133182/6329,1,2,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1033474.462mm,103918.667mm,,,,,,
9,,,unset,TEE,=67133182/6329,3,3,400mm,762,0.000,0,0.000,0,0.000,,,1150563.060mm,1034033.804mm,104259.640mm,,,,,,
10,50,,unset,TEE,=67133182/6329,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1034033.462mm,103918.108mm,,,,,,
11,,,unset,TEE,=67133182/6329,2,1,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1034592.462mm,103917.549mm,,,,,,
12,,,unset,TEE,=67133182/6350,1,1,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1034692.462mm,103917.449mm,,,,,,
13,,,unset,TEE,=67133182/6350,3,3,400mm,762,0.000,0,0.000,0,0.000,,,1149879.994mm,1035251.803mm,104258.422mm,,,,,,
14,60,,unset,TEE,=67133182/6350,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1035251.462mm,103916.890mm,,,,,,
15,,,unset,TEE,=67133182/6350,2,2,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1035810.461mm,103916.331mm,,,,,,
16,70,,unset,ANCI,=67133182/6568,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1037180.238mm,103914.961mm,,,,,,
17,80,,unset,ANCI,=67133182/6571,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1150221.527mm,1037180.239mm,103914.961mm,,,,,,
18,90,,unset,ANCI,=67133182/6577,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1150221.540mm,1048532.969mm,103903.607mm,,,,,,
19,,,unset,ELBO,=67133182/6333,1,1,750mm,762,0.000,0,1143.000,0,0.000,,,1150221.592mm,1098626.563mm,103853.510mm,,,,,,
20,100,,unset,ELBO,=67133182/6333,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1150221.592mm,1099769.561mm,103852.367mm,,,,,,
21,,,unset,ELBO,=67133182/6333,2,2,750mm,762,0.000,0,1143.000,0,0.000,,,1149078.593mm,1099769.561mm,103851.224mm,,,,,,
22,110,,unset,ANCI,=67133182/6592,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1141385.534mm,1099769.560mm,103843.530mm,,,,,,
23,120,,unset,ANCI,=67133182/6595,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1128285.540mm,1099769.560mm,103830.429mm,,,,,,
