Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
1,,,unset,BRAN,=67130482/1664,1,1,400mm,406.4,0.000,0,0.000,0,0.000,0,START,96400.000mm,17989.400mm,101968.000mm,,0,,,,
2,10,,unset,GASK,=67130482/1665,1,1,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,17989.400mm,101968.000mm,,,,,,
3,,,unset,GASK,=67130482/1665,2,2,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,17986.400mm,101968.000mm,,,,,,
4,,,unset,FLAN,=67130482/1666,1,1,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,17986.400mm,101968.000mm,,,,,,
5,20,,unset,FLAN,=67130482/1666,2,2,400mm,406.4,0.000,0,0.000,0,0.000,,END,96400.000mm,17840.400mm,101968.000mm,,,,,,
6,30,PS00178.1,PS00178.1,ANCI,=67130482/2807,0,0,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,17186.400mm,101968.000mm,,,,,,
7,,,unset,TEE,=67130482/1667,1,1,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,16891.400mm,101968.000mm,,,,,,
8,,,unset,TEE,=67130482/1667,3,3,350mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,16586.400mm,102273.000mm,,,,,,
9,40,,unset,TEE,=67130482/1667,0,0,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,16586.400mm,101968.000mm,,,,,,
10,,,unset,TEE,=67130482/1667,2,2,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,16281.400mm,101968.000mm,,,,,,
11,50,,unset,FLAN,=67130482/1668,1,2,400mm,406.4,0.000,0,0.000,0,0.000,,START,96400.000mm,15781.400mm,101968.000mm,,,,,,
12,,,unset,FLAN,=67130482/1668,2,1,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,15635.400mm,101968.000mm,,,,,,
13,,,unset,GASK,=67130482/1669,1,1,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,15635.400mm,101968.000mm,,,,,,
14,,,unset,GASK,=67130482/1669,2,2,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,15632.400mm,101968.000mm,,,,,,
15,,,unset,FLAN,=67130482/1670,1,1,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,15632.400mm,101968.000mm,,,,,,
16,,,unset,FLAN,=67130482/1670,2,2,400mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,15486.400mm,101968.000mm,,,,,,
17,60,,unset,BRAN,=67130482/1664,2,2,400mm,406.4,0.000,0,0.000,0,0.000,0,END,96400.000mm,15486.400mm,101968.000mm,,0,,,,
18,40,,unset,BRAN,=67130482/1151,1,1,350mm,355.6,0.000,0,0.000,0,0.000,0,,96400.000mm,16586.400mm,101968.000mm,,0,,,,
19,70,05-VBL-21475,unset,FLAN,=67130482/1154,1,2,350mm,355.6,0.000,0,0.000,0,0.000,,START,96400.000mm,16586.400mm,102473.000mm,,,,,,
20,,,unset,FLAN,=67130482/1154,2,1,350mm,406.4,0.000,0,0.000,0,0.000,,,96400.000mm,16586.400mm,102616.000mm,,,,,,
