Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
1,,,unset,BRAN,=67132086/1604,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,START,150000.000mm,152977.400mm,101336.500mm,Unset,BWD,0,0,,0,0,-100000,,,,
2,10,,unset,WELD,=67132086/1605,1,1,250mm,273,0.000,0,0.000,0,477mm,0.000,,0.000,,150000.000mm,152977.400mm,101336.500mm,Unset,,,0,,0,,,,,,
3,20,,unset,WELD,=67132086/1605,2,2,250mm,273,0.000,0,0.000,0,477mm,0.000,,0.000,END,150000.000mm,152977.400mm,101336.500mm,Unset,,,0,,0,,,,,,
4,30,PS-171001.1,PS-171001.1,ATTA,=67132086/1606,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
5,40,PS-171001.3,PS-171001.3,ATTA,=67132086/1607,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
6,50,PS-171001.2,PS-171001.2,ATTA,=67132086/1608,0,0,250mm,273,0.000,0,0.000,0,699mm,0.000,,0.000,,150000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
7,60,17-VBL-20011,unset,FBLI,=67132086/1609,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,150000.000mm,151870.501mm,101336.500mm,Unset,,,0,,0,,,,,,
8,,,unset,FBLI,=67132086/1609,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
9,,,unset,GASK,=67132086/1610,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
10,,,unset,GASK,=67132086/1610,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
11,,,17-VBL-20011,VALV,=67132086/1611,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
12,,,17-VBL-20011,VALV,=67132086/1611,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
13,,,unset,GASK,=67132086/1612,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
14,,,unset,GASK,=67132086/1612,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
15,,,unset,FLAN,=67132086/1613,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
16,70,17-VBL-20011,unset,FLAN,=67132086/1613,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,END,150000.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
17,,,unset,ELBO,=67132086/1614,1,1,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,150000.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
18,80,,unset,ELBO,=67132086/1614,0,0,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,150000.000mm,150466.601mm,101336.500mm,Unset,,,0,,1,,,,,,
19,,,unset,ELBO,=67132086/1614,2,2,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,150381.000mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
20,90,PS-171002.1,PS-171002.1,ATTA,=67132086/1615,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152099.987mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
21,100,PS-171002.2,PS-171002.2,ATTA,=67132086/1616,0,0,250mm,273,0.000,0,0.000,0,1164mm,0.000,,0.000,,152099.987mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
22,,,unset,ELBO,=67132086/1617,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,152819.000mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
23,110,,unset,ELBO,=67132086/1617,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,153200.000mm,150466.601mm,101336.500mm,Unset,,,0,,1,,,,,,
24,,,unset,ELBO,=67132086/1617,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,153200.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
25,120,17-VCH-20001,unset,FLAN,=67132086/1618,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,153200.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
26,,,unset,FLAN,=67132086/1618,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
27,,,unset,GASK,=67132086/1619,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
28,,,unset,GASK,=67132086/1619,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
29,,,17-VCH-20001,VALV,=67132086/1620,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
30,,,17-VCH-20001,VALV,=67132086/1620,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
31,,,unset,GASK,=67132086/1621,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
32,,,unset,GASK,=67132086/1621,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
33,,,unset,FLAN,=67132086/1622,1,1,250mm,273,0.000,0,0.000,0,124mm,0.000,,0.000,,153200.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
34,130,17-VCH-20001,unset,FLAN,=67132086/1622,2,2,250mm,273,0.000,0,0.000,0,124mm,0.000,,0.000,END,153200.000mm,151959.001mm,101336.500mm,Unset,,,0,,0,,,,,,
35,,,unset,OLET,=67132086/1623,1,1,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,153200.000mm,152084.000mm,101336.500mm,=67132086/204,,,0,,0,,,,,,
